"","V1","rich"
"1595",452,14
"1596",458,14
"1597",459,14
"1598",484,14
"1599",498,14
"1600",499,14
"1601",500,14
"1602",501,14
"1603",502,14
"1604",505,14
"1605",506,14
"1606",507,14
"1607",508,14
"1608",509,14
"1609",510,14
"1610",511,14
"1611",563,14
"1612",603,14
"1613",604,14
"1614",605,14
"1615",606,14
"1616",607,14
"1617",608,14
"1618",764,14
"1619",771,14
"1620",772,14
"1621",773,14
"1622",774,14
"1623",775,14
"1624",776,14
"1625",777,14
"1626",948,14
"1627",949,14
"1628",950,14
"1629",1298,14
"1630",1299,14
"1631",1300,14
"1632",1472,14
"1633",1601,14
"1634",1604,14
"1635",1636,14
"1636",1637,14
"1637",1638,14
"1638",1639,14
"1639",1641,14
"1640",1784,14
"1641",1798,14
"1642",2047,14
"1643",2050,14
"1644",2252,14
"1645",2418,14
"1646",2705,14
"1647",2875,14
"1648",3803,14
"1649",3936,14
"1650",3940,14
"1651",4080,14
"1652",4174,14
"1653",4301,14
"1654",4302,14
"1655",4480,14
"1656",4789,14
"1657",4886,14
"1658",4933,14
"1659",5013,14
"1660",5015,14
"1661",5069,14
"1662",5158,14
"1663",5159,14
"1664",5194,14
"1665",5196,14
"1666",5201,14
"1667",5202,14
"1668",5308,14
"1669",5345,14
"1670",5351,14
"1671",5353,14
"1672",5377,14
"1673",5436,14
"1674",5442,14
"1675",5493,14
"1676",5495,14
"1677",5503,14
"1678",5505,14
"1679",5575,14
"1680",5576,14
"1681",5578,14
"1682",5583,14
"1683",5584,14
"1684",5585,14
"1685",5595,14
"1686",5614,14
"1687",5635,14
"1688",5640,14
"1689",5655,14
"1690",5676,14
"1691",5725,14
"1692",5727,14
"1693",5729,14
"1694",5740,14
"1695",5745,14
"1696",5762,14
"1697",5771,14
"1698",5776,14
"1699",5794,14
"1700",5805,14
"1701",5912,14
"1702",5982,14
"1703",6018,14
"1704",6039,14
"1705",6062,14
"1706",6063,14
"1707",6069,14
"1708",6070,14
